,Sex,LSM (mm),Diameter (mm),Height (mm),Weight_of_Abalone (grams),Weight_Of_Meat (mm),Gut_Weight_After_Bleeding (grams),Shell_Weight (grams),Rings
3312,0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17.0
403,0,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10.0
327,2,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12.0
3593,0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8.0
812,1,0.235,0.175,0.055,0.067,0.027000000000000003,0.0125,0.018000000000000002,6.0
55,0,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8.0
1391,0,0.635,0.495,0.175,1.2109999999999999,0.7070000000000001,0.2725,0.32299999999999995,9.0
1082,1,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7.0
2651,1,0.51,0.385,0.15,0.625,0.3095,0.11900000000000001,0.1725,8.0
3097,2,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11.0
3789,0,0.645,0.51,0.155,1.129,0.5015,0.24,0.342,10.0
1330,0,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,9.0
3193,2,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20.0
1023,0,0.64,0.5,0.175,1.3940000000000001,0.4935,0.29100000000000004,0.4,10.0
3140,2,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20.0
4016,0,0.64,0.525,0.175,1.382,0.6459999999999999,0.3115,0.37,9.0
1986,1,0.135,0.13,0.04,0.028999999999999998,0.0125,0.0065,0.008,4.0
3660,0,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10.0
674,0,0.49,0.385,0.15,0.7865,0.24100000000000002,0.14,0.24,23.0
1493,1,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8.0
477,2,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17.0
2617,2,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9.0
847,0,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10.0
3562,0,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8.0
1255,1,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7.0
1212,1,0.25,0.185,0.065,0.0685,0.0295,0.013999999999999999,0.0225,5.0
1303,0,0.535,0.41,0.13,0.7145,0.335,0.14400000000000002,0.2075,9.0
846,0,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11.0
2771,0,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,9.0
1474,2,0.55,0.425,0.16,0.7929999999999999,0.34299999999999997,0.2035,0.215,9.0
3252,2,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12.0
3419,2,0.59,0.47,0.135,1.1685,0.539,0.27899999999999997,0.28,8.0
597,1,0.605,0.47,0.14,0.9390000000000001,0.3385,0.201,0.32,13.0
1810,2,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,9.0
1498,2,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11.0
3639,1,0.44,0.32,0.095,0.3275,0.1495,0.059000000000000004,0.1,8.0
982,0,0.56,0.455,0.16,0.9670000000000001,0.4525,0.207,0.27399999999999997,9.0
3094,2,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9.0
2774,0,0.58,0.425,0.15,0.8440000000000001,0.3645,0.185,0.2705,9.0
136,0,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7.0
2848,0,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9.0
3104,2,0.66,0.525,0.2,1.489,0.6065,0.3795,0.42100000000000004,10.0
664,1,0.45,0.355,0.12,0.41200000000000003,0.1145,0.0665,0.16,19.0
1183,2,0.665,0.525,0.16,1.3630000000000002,0.629,0.27899999999999997,0.34,8.0
3908,1,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9.0
1070,1,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6.0
4088,2,0.6,0.47,0.13,1.0105,0.423,0.21899999999999997,0.298,9.0
3945,1,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,6.0
998,0,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8.0
1606,1,0.54,0.425,0.13,0.7205,0.2955,0.16899999999999998,0.225,10.0
432,2,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18.0
3679,2,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10.0
265,0,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11.0
1248,1,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8.0
1935,2,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12.0
1679,0,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12.0
413,2,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12.0
3158,2,0.55,0.435,0.11,0.8059999999999999,0.3415,0.203,0.215,9.0
2264,1,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14.0
4142,2,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13.0
1893,1,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10.0
1801,2,0.605,0.475,0.15,1.15,0.575,0.23199999999999998,0.297,10.0
110,2,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9.0
3753,1,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8.0
1832,1,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8.0
3315,2,0.35,0.26,0.09,0.195,0.0745,0.040999999999999995,0.0655,9.0
1844,1,0.435,0.345,0.12,0.3215,0.13,0.055999999999999994,0.1185,7.0
171,0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255,7.0
193,1,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8.0
2498,2,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15.0
242,1,0.23,0.175,0.065,0.0645,0.026000000000000002,0.0105,0.02,5.0
1368,2,0.61,0.46,0.16,1.0,0.494,0.19699999999999998,0.275,10.0
3618,2,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,11.0
3092,2,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11.0
3831,0,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,10.0
2504,1,0.31,0.24,0.105,0.2885,0.11800000000000001,0.065,0.083,6.0
2233,2,0.595,0.475,0.17,1.0965,0.419,0.22899999999999998,0.35,17.0
2920,2,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10.0
3592,2,0.655,0.525,0.16,1.46,0.6859999999999999,0.311,0.405,11.0
389,1,0.465,0.375,0.12,0.47100000000000003,0.222,0.11900000000000001,0.14,9.0
1170,0,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9.0
2882,1,0.5,0.39,0.13,0.5075,0.2115,0.10400000000000001,0.1755,9.0
2331,2,0.59,0.46,0.155,0.9059999999999999,0.327,0.1485,0.335,15.0
923,1,0.425,0.34,0.1,0.382,0.16399999999999998,0.096,0.1,6.0
1355,0,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11.0
2070,1,0.55,0.42,0.115,0.6679999999999999,0.2925,0.13699999999999998,0.209,11.0
357,0,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18.0
701,0,0.48,0.385,0.135,0.536,0.1895,0.142,0.17300000000000001,14.0
78,0,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285,11.0
1382,0,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9.0
3468,0,0.665,0.52,0.165,1.6885,0.7295,0.40700000000000003,0.4265,11.0
2611,2,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8.0
390,1,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10.0
3293,2,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,13.0
957,2,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6.0
3508,0,0.64,0.475,0.175,1.1545,0.4865,0.341,0.28800000000000003,9.0
2579,2,0.525,0.415,0.135,0.7945,0.39399999999999996,0.18899999999999997,0.20199999999999999,7.0
1472,0,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9.0
906,1,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6.0
65,2,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135,8.0
876,2,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9.0
409,2,0.57,0.44,0.095,0.8270000000000001,0.3395,0.2215,0.235,8.0
952,2,0.48,0.365,0.12,0.6015,0.312,0.11699999999999999,0.14,7.0
1294,1,0.52,0.395,0.125,0.6629999999999999,0.3005,0.131,0.1905,9.0
355,2,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20.0
1169,0,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8.0
3009,1,0.255,0.185,0.065,0.07400000000000001,0.0305,0.0165,0.02,4.0
459,0,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11.0
711,2,0.375,0.3,0.1,0.2465,0.10400000000000001,0.0475,0.083,11.0
3521,1,0.215,0.15,0.055,0.040999999999999995,0.015,0.009000000000000001,0.0125,3.0
3559,0,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10.0
1868,1,0.525,0.405,0.145,0.6965,0.3045,0.1535,0.21,8.0
1821,0,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,9.0
1667,0,0.605,0.505,0.18,1.4340000000000002,0.7285,0.264,0.431,11.0
1601,1,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9.0
989,2,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9.0
950,2,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6.0
1957,0,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,16.0
3314,1,0.45,0.355,0.115,0.4385,0.184,0.10800000000000001,0.1125,11.0
2321,2,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14.0
1315,1,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9.0
303,2,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6.0
3266,0,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11.0
1895,2,0.57,0.455,0.155,0.8320000000000001,0.3585,0.174,0.27699999999999997,11.0
1492,0,0.61,0.485,0.17,1.1005,0.5125,0.22899999999999998,0.305,11.0
855,0,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9.0
1061,1,0.275,0.195,0.065,0.106,0.054000000000000006,0.02,0.027999999999999997,6.0
3547,1,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9.0
2020,2,0.515,0.4,0.14,0.6335,0.28800000000000003,0.145,0.168,9.0
2460,2,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14.0
1312,0,0.55,0.405,0.125,0.6509999999999999,0.2965,0.13699999999999998,0.2,9.0
2529,0,0.6,0.5,0.155,1.3319999999999999,0.6235,0.2835,0.35,8.0
2079,0,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9.0
1476,0,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,9.0
3290,0,0.51,0.395,0.12,0.6175,0.262,0.122,0.193,12.0
2440,2,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13.0
1344,2,0.585,0.47,0.165,1.409,0.8,0.22899999999999998,0.295,10.0
4071,1,0.485,0.375,0.11,0.46399999999999997,0.2015,0.09,0.149,8.0
2292,0,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9.0
317,2,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10.0
249,1,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07,7.0
365,2,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19.0
820,1,0.365,0.275,0.135,0.24,0.10800000000000001,0.0445,0.0735,7.0
4030,1,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7.0
3999,1,0.415,0.31,0.095,0.34,0.18100000000000002,0.057,0.083,6.0
1280,2,0.495,0.395,0.12,0.5529999999999999,0.22399999999999998,0.1375,0.16699999999999998,8.0
3098,0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8.0
509,1,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16.0
92,2,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13.0
3966,1,0.295,0.22,0.065,0.1295,0.052000000000000005,0.027999999999999997,0.035,6.0
3899,1,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4.0
1901,2,0.575,0.435,0.135,0.992,0.43200000000000005,0.2225,0.239,10.0
2518,2,0.5,0.4,0.13,0.7715,0.37,0.16,0.21100000000000002,8.0
1202,2,0.725,0.505,0.185,1.9780000000000002,1.026,0.4255,0.4505,12.0
2723,1,0.385,0.3,0.125,0.34299999999999997,0.1705,0.0735,0.081,7.0
2410,0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998,10.0
3971,1,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6.0
3919,1,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11.0
2158,2,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14.0
2629,1,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6.0
2721,1,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,8.0
1362,0,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12.0
1128,0,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8.0
2083,2,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11.0
2574,2,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8.0
18,2,0.365,0.295,0.08,0.2555,0.09699999999999999,0.043,0.1,7.0
3285,0,0.665,0.57,0.185,1.5219999999999998,0.6965,0.3025,0.405,13.0
398,2,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12.0
1041,0,0.675,0.57,0.225,1.587,0.7390000000000001,0.2995,0.435,10.0
1630,1,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,9.0
702,0,0.445,0.33,0.105,0.4525,0.18,0.10300000000000001,0.12300000000000001,9.0
2543,0,0.7,0.525,0.19,1.6015,0.7070000000000001,0.365,0.43,10.0
1631,1,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12.0
109,0,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9.0
3344,1,0.495,0.38,0.145,0.515,0.175,0.098,0.212,13.0
3100,2,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10.0
1594,1,0.525,0.4,0.14,0.654,0.305,0.16,0.16899999999999998,7.0
117,2,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10.0
3074,2,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11.0
1354,1,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,10.0
2642,1,0.475,0.375,0.115,0.5205,0.233,0.11900000000000001,0.1455,7.0
1508,2,0.645,0.51,0.155,1.5390000000000001,0.6405,0.3585,0.43,11.0
3840,0,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9.0
1988,1,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,5.0
1839,1,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11.0
1173,2,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10.0
1446,1,0.44,0.34,0.105,0.369,0.16399999999999998,0.08,0.1015,5.0
4066,1,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7.0
1527,2,0.72,0.565,0.2,2.1055,1.0170000000000001,0.363,0.494,12.0
2653,1,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,9.0
2874,1,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8.0
2372,0,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12.0
1770,1,0.455,0.335,0.105,0.42200000000000004,0.22899999999999998,0.0865,0.1,6.0
105,0,0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,12.0
2932,2,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10.0
1841,1,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,7.0
3988,2,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8.0
1754,2,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13.0
1805,2,0.625,0.495,0.175,1.254,0.5815,0.28600000000000003,0.3185,9.0
3214,0,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14.0
1859,1,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10.0
207,1,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8.0
3713,2,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11.0
2870,1,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,7.0
1422,2,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12.0
3879,0,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,15.0
2572,1,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7.0
867,0,0.615,0.5,0.175,1.3769999999999998,0.5585,0.33,0.292,12.0
1214,1,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6.0
2652,1,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9.0
3023,1,0.47,0.375,0.125,0.5225,0.2265,0.10400000000000001,0.162,8.0
2707,2,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9.0
524,2,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4.0
1702,0,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9.0
948,0,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6.0
2261,2,0.585,0.43,0.16,0.955,0.3625,0.17600000000000002,0.27,11.0
141,0,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10.0
1593,1,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8.0
1964,0,0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,10.0
2644,1,0.49,0.375,0.125,0.5445,0.27899999999999997,0.115,0.13,8.0
970,0,0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23,8.0
2533,2,0.63,0.5,0.185,1.3619999999999999,0.5785,0.3125,0.384,10.0
24,0,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10.0
2106,2,0.595,0.455,0.155,1.041,0.41600000000000004,0.2105,0.365,14.0
1053,1,0.185,0.13,0.045,0.028999999999999998,0.012,0.0075,0.0095,4.0
775,2,0.53,0.41,0.165,0.732,0.18899999999999997,0.17,0.31,11.0
3823,0,0.615,0.455,0.135,1.0590000000000002,0.4735,0.263,0.27399999999999997,9.0
3734,2,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,10.0
689,2,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11.0
1756,0,0.725,0.565,0.21,2.1425,1.03,0.48700000000000004,0.503,14.0
4149,1,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6.0
13,0,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10.0
238,1,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3.0
255,2,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15.0
3579,0,0.6,0.485,0.145,0.7759999999999999,0.3545,0.1585,0.239,9.0
2030,2,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,10.0
2427,2,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6.0
953,0,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7.0
737,0,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12.0
3519,2,0.715,0.545,0.18,1.7405,0.871,0.34700000000000003,0.449,10.0
3779,2,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,10.0
1746,2,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10.0
1789,0,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9.0
3770,1,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9.0
4094,2,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13.0
3702,0,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11.0
1399,0,0.65,0.505,0.165,1.16,0.4785,0.27399999999999997,0.349,11.0
1345,2,0.585,0.475,0.15,1.065,0.5315,0.19899999999999998,0.2885,10.0
3929,0,0.65,0.515,0.215,1.4980000000000002,0.564,0.32299999999999995,0.425,16.0
882,2,0.655,0.58,0.205,2.0805,0.9590000000000001,0.3415,0.601,17.0
1711,2,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9.0
3504,0,0.62,0.51,0.18,1.2329999999999999,0.5920000000000001,0.27399999999999997,0.322,10.0
840,2,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8.0
931,0,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6.0
1013,0,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10.0
11,2,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10.0
2880,1,0.475,0.375,0.11,0.494,0.21100000000000002,0.109,0.1545,8.0
1196,0,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11.0
57,2,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8.0
972,0,0.525,0.415,0.14,0.7240000000000001,0.3475,0.17300000000000001,0.175,8.0
3187,0,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8.0
1420,0,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11.0
617,2,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7.0
3380,1,0.19,0.13,0.045,0.0265,0.009000000000000001,0.005,0.009000000000000001,5.0
80,0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9.0
1462,0,0.495,0.38,0.12,0.573,0.2655,0.1285,0.14400000000000002,7.0
2435,0,0.465,0.38,0.135,0.579,0.20800000000000002,0.1095,0.22,14.0
1845,1,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,8.0
2084,0,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12.0
1600,1,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,7.0
3862,2,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10.0
2122,0,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11.0
576,1,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10.0
2355,2,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13.0
1445,1,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6.0
1722,0,0.655,0.51,0.15,1.043,0.4795,0.223,0.305,9.0
1706,2,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10.0
1251,1,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6.0
2635,1,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7.0
1846,1,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7.0
917,1,0.41,0.31,0.09,0.33899999999999997,0.155,0.0695,0.09,7.0
2779,2,0.59,0.47,0.145,0.9235,0.4545,0.17300000000000001,0.254,9.0
960,2,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7.0
2251,2,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13.0
2883,1,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8.0
1511,2,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10.0
480,0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29.0
302,2,0.37,0.28,0.1,0.252,0.1065,0.0595,0.07400000000000001,8.0
2416,2,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18.0
3792,0,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13.0
3081,0,0.73,0.55,0.205,1.9080000000000001,0.5415,0.3565,0.5965,14.0
2544,0,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,10.0
1385,1,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11.0
2190,2,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11.0
3553,1,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9.0
3885,1,0.41,0.33,0.105,0.335,0.1525,0.07400000000000001,0.11,7.0
2999,0,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,11.0
369,0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17.0
973,2,0.525,0.4,0.14,0.7325,0.33399999999999996,0.1575,0.17,11.0
914,1,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7.0
692,0,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11.0
768,0,0.55,0.43,0.155,0.785,0.289,0.22699999999999998,0.233,11.0
2855,0,0.655,0.515,0.155,1.3090000000000002,0.524,0.34600000000000003,0.385,11.0
1232,1,0.37,0.29,0.09,0.2445,0.08900000000000001,0.0655,0.075,7.0
789,0,0.6,0.465,0.165,0.8875,0.309,0.24600000000000002,0.262,12.0
